CODGEO;DEP;LIBGEO;Zonage en vigueur depuis le 5 septembre 2025;Reclassement 5 septembre 2025
01001;01;L'Abergement-Clémenciat;C;Non
01002;01;L'Abergement-de-Varey;C;Non
01004;01;Ambérieu-en-Bugey;B1;Non
01005;01;Ambérieux-en-Dombes;C;Non
01006;01;Ambléon;C;Non
01007;01;Ambronay;C;Non
01008;01;Ambutrix;C;Non
01009;01;Andert-et-Condon;C;Non
01010;01;Anglefort;C;Non
01011;01;Apremont;C;Non
01012;01;Aranc;C;Non
01013;01;Arandas;C;Non
01014;01;Arbent;C;Non
01015;01;Arboys en Bugey;C;Non
01016;01;Arbigny;C;Non
01017;01;Argis;C;Non
01019;01;Armix;C;Non
01021;01;Ars-sur-Formans;B2;Non
01022;01;Artemare;C;Non
01023;01;Asnières-sur-Saône;C;Non
01024;01;Attignat;C;Non
01025;01;Bâgé-Dommartin;C;Non
01026;01;Bâgé-le-Châtel;C;Non
01027;01;Balan;B2;Non
01028;01;Baneins;C;Non
01029;01;Beaupont;C;Non
01030;01;Beauregard;B2;Non
01031;01;Bellignat;C;Non
01032;01;Béligneux;B2;Non
01033;01;Valserhône;B1;Non
01034;01;Belley;C;Non
01035;01;Belleydoux;C;Non
01036;01;Valromey-sur-Séran;C;Non
01037;01;Bénonces;C;Non
01038;01;Bény;C;Non
01040;01;Béréziat;C;Non
01041;01;Bettant;C;Non
01042;01;Bey;C;Non
01043;01;Beynost;B1;Non
01044;01;Billiat;C;Non
01045;01;Birieux;C;Non
01046;01;Biziat;C;Non
01047;01;Blyes;B2;Reclassement
01049;01;La Boisse;B1;Non
01050;01;Boissey;C;Non
01051;01;Bolozon;C;Non
01052;01;Bouligneux;C;Non
01053;01;Bourg-en-Bresse;B1;Non
01054;01;Bourg-Saint-Christophe;B1;Reclassement
01056;01;Boyeux-Saint-Jérôme;C;Non
01057;01;Boz;C;Non
01058;01;Brégnier-Cordon;C;Non
01060;01;Brénod;C;Non
01061;01;Brens;C;Non
01062;01;Bressolles;B2;Non
01063;01;Brion;C;Non
